cent1 pt1 0.4457031 0.03176704
cent1 pt2 0.5494383 0.08839848
cent1 pt3 0.6535156 0.1520975
cent1 pt4 0.8033203 0.2354605
cent1 pt5 0.9500977 0.2853269
cent1 pt6 1.146338 0.3346936
cent1 pt7 1.486914 0.3906394
cent1 pt8 1.840698 0.4082072
cent1 pt9 2.221069 0.4222292
cent1 pt10 2.718628 0.4280613
cent1 pt11 3.374451 0.4371111
cent2 pt1 0.4462891 0.03670431
cent2 pt2 0.5494383 0.09821309
cent2 pt3 0.6542969 0.1632337
cent2 pt4 0.8039062 0.2500004
cent2 pt5 0.9501953 0.3126211
cent2 pt6 1.146924 0.3484284
cent2 pt7 1.487891 0.4048599
cent2 pt8 1.841211 0.4342593
cent2 pt9 2.222656 0.4436449
cent2 pt10 2.720154 0.4463026
cent2 pt11 3.379761 0.4522813
cent3 pt1 0.4453125 0.0381323
cent3 pt2 0.5494383 0.0962703
cent3 pt3 0.653125 0.1617014
cent3 pt4 0.8029296 0.2561288
cent3 pt5 0.95 0.3245632
cent3 pt6 1.145752 0.3661704
cent3 pt7 1.486035 0.4152702
cent3 pt8 1.840186 0.4461694
cent3 pt9 2.219788 0.4587162
cent3 pt10 2.717285 0.4611258
cent3 pt11 3.369934 0.47436
cent4 pt1 0.4455078 0.03636546
cent4 pt2 0.5494383 0.09727142
cent4 pt3 0.6535156 0.1771926
cent4 pt4 0.803125 0.2642083
cent4 pt5 0.95 0.3370004
cent4 pt6 1.146045 0.3713538
cent4 pt7 1.486426 0.4280639
cent4 pt8 1.840405 0.4491541
cent4 pt9 2.220337 0.4575387
cent4 pt10 2.717834 0.4653801
cent4 pt11 3.371826 0.4769715
cent5 pt1 0.4433594 0.04222711
cent5 pt2 0.5494543 0.1036932
cent5 pt3 0.6523438 0.1785193
cent5 pt4 0.8019531 0.2678864
cent5 pt5 0.9498047 0.3374354
cent5 pt6 1.14458 0.3819212
cent5 pt7 1.484473 0.4359501
cent5 pt8 1.8396 0.4568815
cent5 pt9 2.219055 0.4617849
cent5 pt10 2.717773 0.4650928
cent5 pt11 3.376709 0.4789064
cent6 pt1 0.450024 0.04101104
cent6 pt2 0.5546875 0.1079936
cent6 pt3 0.6514648 0.1909791
cent6 pt4 0.8005859 0.2873313
cent6 pt5 0.9496094 0.339502
cent6 pt6 1.142676 0.3840966
cent6 pt7 1.481396 0.4453202
cent6 pt8 1.837952 0.4668545
cent6 pt9 2.215027 0.4922496
cent6 pt10 2.714172 0.488339
cent6 pt11 3.366577 0.4863355
